fold,train_start,train_end,test_start,test_end,train_n,test_n,train_pf,test_pf,test_expectancy,test_win_rate,test_total_pnl,oos_pf_ratio
1,2016-06-06,2016-12-03,2016-12-08,2017-03-08,125,60,inf,inf,383.25,1.0,22995.0,
2,2016-06-06,2017-03-08,2017-03-13,2017-06-11,188,63,inf,inf,469.1904761904762,1.0,29559.0,
3,2016-06-06,2017-06-11,2017-06-16,2017-09-14,254,62,inf,inf,711.3870967741935,1.0,44106.0,
4,2016-06-06,2017-09-14,2017-09-19,2017-12-18,320,63,inf,inf,523.4761904761905,1.0,32979.0,
5,2016-06-06,2017-12-18,2017-12-23,2018-03-23,386,60,inf,inf,1311.6666666666667,1.0,78700.0,
6,2016-06-06,2018-03-23,2018-03-28,2018-06-26,451,62,inf,34991.5,1128.725806451613,0.9838709677419355,69981.0,0.0
7,2016-06-06,2018-06-26,2018-07-01,2018-09-29,516,63,181712.5,inf,891.4126984126984,1.0,56159.0,inf
8,2016-06-06,2018-09-29,2018-10-04,2019-01-02,583,60,211918.0,inf,1971.1666666666667,1.0,118270.0,inf
9,2016-06-06,2019-01-02,2019-01-07,2019-04-07,646,63,271392.5,inf,951.4444754464286,1.0,59941.001953125,inf
10,2016-06-06,2019-04-07,2019-04-12,2019-07-11,712,61,305035.0009765625,inf,1126.5705366290983,1.0,68720.802734375,inf
11,2016-06-06,2019-07-11,2019-07-16,2019-10-14,777,63,340648.90234375,59952.76190476191,1522.2127046130952,0.9841269841269841,95899.400390625,0.17599575836666975
12,2016-06-06,2019-10-14,2019-10-19,2020-01-17,843,61,216336.7531199132,inf,842.3311347336065,1.0,51382.19921875,inf
13,2016-06-06,2020-01-17,2020-01-22,2020-04-21,909,62,231668.19424850788,inf,4202.025800151209,1.0,260525.599609375,inf
14,2016-06-06,2020-04-21,2020-04-26,2020-07-25,973,63,304275.128052089,inf,2420.330109126984,1.0,152480.796875,inf
15,2016-06-06,2020-07-25,2020-07-30,2020-10-28,1040,63,350369.79544221377,inf,2908.8919270833335,1.0,183260.19140625,inf
16,2016-06-06,2020-10-28,2020-11-02,2021-01-31,1106,61,403746.19587628864,inf,2330.4785476434427,1.0,142159.19140625,inf
17,2016-06-06,2021-01-31,2021-02-05,2021-05-06,1170,62,447432.37818773737,inf,2833.3194304435483,1.0,175665.8046875,inf
18,2016-06-06,2021-05-06,2021-05-11,2021-08-09,1236,62,500863.9549647314,inf,1808.1033266129032,1.0,112102.40625,inf
19,2016-06-06,2021-08-09,2021-08-14,2021-11-12,1301,63,535173.623982637,inf,2001.914310515873,1.0,126120.6015625,inf
20,2016-06-06,2021-11-12,2021-11-17,2022-02-15,1369,61,571656.916440586,inf,4099.452356557377,1.0,250066.59375,inf
21,2016-06-06,2022-02-15,2022-02-20,2022-05-21,1433,63,642657.841020076,inf,5041.114149305556,1.0,317590.19140625,inf
22,2016-06-06,2022-05-21,2022-05-26,2022-08-24,1500,61,736175.5415084102,inf,3663.6099513319673,1.0,223480.20703125,inf
23,2016-06-06,2022-08-24,2022-08-29,2022-11-27,1564,63,800744.827455236,inf,3558.292038690476,1.0,224172.3984375,inf
24,2016-06-06,2022-11-27,2022-12-02,2023-03-02,1630,60,867370.5008138904,inf,2850.5699869791665,1.0,171034.19921875,inf
25,2016-06-06,2023-03-02,2023-03-07,2023-06-05,1694,62,919072.2772653282,inf,2164.822706653226,1.0,134219.0078125,inf
26,2016-06-06,2023-06-05,2023-06-10,2023-09-08,1759,61,958438.4953879544,inf,2478.2001152663934,1.0,151170.20703125,inf
27,2016-06-06,2023-09-08,2023-09-13,2023-12-12,1825,64,1003240.6364622897,inf,2334.9686889648438,1.0,149437.99609375,inf
28,2016-06-06,2023-12-12,2023-12-17,2024-03-16,1892,61,1046647.289744981,inf,2541.7704918032787,1.0,155048.0,inf
29,2016-06-06,2024-03-16,2024-03-21,2024-06-19,1957,62,1091528.6570808464,inf,2313.1612903225805,1.0,143416.0,inf
30,2016-06-06,2024-06-19,2024-06-24,2024-09-22,2022,63,1133656.839392295,inf,4259.346106150793,1.0,268338.8046875,inf
31,2016-06-06,2024-09-22,2024-09-27,2024-12-26,2087,62,1209318.944655453,inf,3191.3933971774195,1.0,197866.390625,inf
32,2016-06-06,2024-12-26,2024-12-31,2025-03-31,2153,61,1265713.5056972327,inf,4353.717853483607,1.0,265576.7890625,inf
33,2016-06-06,2025-03-31,2025-04-05,2025-07-04,2217,61,1342983.2202930006,inf,4754.521516393443,1.0,290025.8125,inf
34,2016-06-06,2025-07-04,2025-07-09,2025-10-07,2283,63,1434308.6332067281,inf,2651.3556547619046,1.0,167035.40625,inf
35,2016-06-06,2025-10-07,2025-10-12,2026-01-10,2349,62,1482359.5154639175,inf,3837.3674395161293,1.0,237916.78125,inf
36,2016-06-06,2026-01-10,2026-01-15,2026-04-15,2415,61,1556061.618556701,inf,5211.187115778688,1.0,317882.4140625,inf
