group_type,group_key,matched_events,direction_agreement,same_sign_agreement,return_correlation,avg_abs_return_diff_pts,yahoo_daily_bias_accuracy,investing_daily_bias_accuracy,yahoo_daily_avg_return_pts,investing_daily_avg_return_pts
overall,all,200,1.0,1.0,0.9999999998852631,0.000439453125,0.405,0.405,7.531591796875,7.53125
event_family,adp_employment,14,1.0,1.0,0.9999999999999999,0.0,0.5714285714285714,0.5714285714285714,99.21428571428571,99.21428571428571
event_family,core_cpi,10,1.0,1.0,0.9999999999999998,0.0,0.6,0.6,85.2,85.2
event_family,fomc_rates,8,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,73.90625,73.90625
event_family,home_sales,13,1.0,1.0,0.9999999990841197,0.0030048076923076925,0.38461538461538464,0.38461538461538464,73.86838942307692,73.86538461538461
event_family,ism_pmi,52,1.0,1.0,0.9999999998101522,0.0009390024038461539,0.46153846153846156,0.46153846153846156,-34.23982121394231,-34.24038461538461
event_family,jobless_claims,55,1.0,1.0,1.0,0.0,0.43636363636363634,0.43636363636363634,21.695454545454545,21.695454545454545
event_family,jolts_job_openings,13,1.0,1.0,1.0,0.0,0.38461538461538464,0.38461538461538464,-50.5,-50.5
event_family,nonfarm_payrolls,18,1.0,1.0,1.0,0.0,0.3888888888888889,0.3888888888888889,13.76388888888889,13.76388888888889
event_family,other,9,1.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111,-78.77777777777777,-78.77777777777777
event_family,retail_sales,8,1.0,1.0,0.9999999999999998,0.0,0.125,0.125,-72.65625,-72.65625
catalyst_category,central_bank,8,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,73.90625,73.90625
catalyst_category,growth,73,1.0,1.0,0.9999999997292268,0.0012039811643835617,0.410958904109589,0.410958904109589,-19.19769370719178,-19.198630136986303
catalyst_category,inflation,10,1.0,1.0,0.9999999999999998,0.0,0.6,0.6,85.2,85.2
catalyst_category,labor,100,1.0,1.0,1.0,0.0,0.44,0.44,21.735,21.735
catalyst_category,other,9,1.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111,-78.77777777777777,-78.77777777777777
market_bias_side,market_mixed,13,1.0,1.0,1.0,0.0,0.0,0.0,104.38461538461539,104.38461538461539
market_bias_side,market_negative,68,1.0,1.0,0.9999999999999999,0.0,0.5147058823529411,0.5147058823529411,-37.779411764705884,-37.779411764705884
market_bias_side,market_neutral,35,1.0,1.0,0.9999999997125719,0.0013950892857142857,0.02857142857142857,0.02857142857142857,3.5436941964285715,3.5428571428571427
market_bias_side,market_positive,84,1.0,1.0,0.9999999998664056,0.0004650297619047619,0.5357142857142857,0.5357142857142857,30.884393601190474,30.883928571428573
