release_time,title,event_family,catalyst_category,country,source,calendar_id,unit,scale,previous,forecast,actual,previous_value,forecast_value,actual_value,surprise,surprise_basis,surprise_side,raw_surprise_side,market_bias_side,market_bias_label,market_bias_score,market_rule_direction,market_rule_confidence,market_rule_note,event_cluster_id,event_count,is_event_cluster,cluster_titles,cluster_event_families,cluster_categories,cluster_surprise_sides,cluster_market_bias_sides,cluster_surprise_summary,primary_title,primary_event_family,primary_catalyst_category
2026-03-26 12:30:00,Initial Jobless Clm *,jobless_claims,labor,US,Dept of Labor,16601469 2026-03-26 12:30:00 +0000 UTC Initial Jobless Clm * United States-Jobless-Initial Jobless Clm *,Person,K,205K,210K,210K,205000.0,210000.0,210000.0,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,0.0,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260326T123000,1,False,Initial Jobless Clm *,jobless_claims,labor,flat,market_neutral,Initial Jobless Clm *: 0.0 (actual_vs_forecast),Initial Jobless Clm *,jobless_claims,labor
2026-03-31 14:00:00,JOLTS Job Openings,jolts_job_openings,labor,US,BLS,16683841 2026-03-31 14:00:00 +0000 UTC JOLTS Job Openings United States-Job Openings-JOLTS Job Openings,Person,M,7.24M,6.918M,6.882M,7240000.0,6918000.0,6882000.0,-36000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.6,cluster_weighted,0.6,Cluster-level market bias from simultaneous releases.,20260331T140000,1,False,JOLTS Job Openings,jolts_job_openings,labor,negative,market_positive,JOLTS Job Openings: -36000.0 (actual_vs_forecast),JOLTS Job Openings,jolts_job_openings,labor
2026-04-01 12:15:00,ADP National Employment,adp_employment,labor,US,ADP,16591354 2026-04-01 12:15:00 +0000 UTC ADP National Employment United States-ADP-ADP National Employment,Person,K,66K,40K,62K,66000.0,40000.0,62000.0,22000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.6,cluster_weighted,0.6,Cluster-level market bias from simultaneous releases.,20260401T121500,1,False,ADP National Employment,adp_employment,labor,positive,market_negative,ADP National Employment: 22000.0 (actual_vs_forecast),ADP National Employment,adp_employment,labor
2026-04-01 12:30:00,Retail Sales MM,retail_sales,growth,US,Dept of Commerce,16708440 2026-04-01 12:30:00 +0000 UTC Retail Sales MM United States-Retail Sales-Retail Sales MM,%,,-0.1%,0.5%,0.6%,-0.1,0.5,0.6,0.09999999999999998,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260401T123000,1,False,Retail Sales MM,retail_sales,growth,positive,market_positive,Retail Sales MM: 0.09999999999999998 (actual_vs_forecast),Retail Sales MM,retail_sales,growth
2026-04-01 14:00:00,ISM Manufacturing PMI,ism_pmi,growth,US,ISM,16500489 2026-04-01 14:00:00 +0000 UTC ISM Manufacturing PMI United States-ISM - man-ISM Manufacturing PMI,Index,,52.4,52.5,52.7,52.4,52.5,52.7,0.20000000000000284,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260401T140000,1,False,ISM Manufacturing PMI,ism_pmi,growth,positive,market_positive,ISM Manufacturing PMI: 0.20000000000000284 (actual_vs_forecast),ISM Manufacturing PMI,ism_pmi,growth
2026-04-02 12:30:00,Initial Jobless Clm *,jobless_claims,labor,US,Dept of Labor,16601470 2026-04-02 12:30:00 +0000 UTC Initial Jobless Clm * United States-Jobless-Initial Jobless Clm *,Person,K,211K,212K,202K,211000.0,212000.0,202000.0,-10000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260402T123000,1,False,Initial Jobless Clm *,jobless_claims,labor,negative,market_positive,Initial Jobless Clm *: -10000.0 (actual_vs_forecast),Initial Jobless Clm *,jobless_claims,labor
2026-04-03 12:30:00,Non-Farm Payrolls | Unemployment Rate,nonfarm_payrolls,labor,US,BLS,16268760 2026-04-03 12:30:00 +0000 UTC Non-Farm Payrolls United States-Employment-Non-Farm Payrolls,Person,K,-133K,60K,178K,-133000.0,60000.0,178000.0,118000.0,actual_vs_forecast,mixed,mixed,market_mixed,mixed,-0.25,cluster_weighted,0.6,Cluster-level market bias from simultaneous releases.,20260403T123000,2,True,Non-Farm Payrolls | Unemployment Rate,"nonfarm_payrolls,unemployment_rate",labor,"positive,negative","market_negative,market_positive",Non-Farm Payrolls: 118000.0 (actual_vs_forecast) | Unemployment Rate: -0.10000000000000053 (actual_vs_forecast),Non-Farm Payrolls,nonfarm_payrolls,labor
2026-04-03 13:45:00,S&P Global Comp PMI Final,ism_pmi,growth,US,Markit,16507060 2026-04-03 13:45:00 +0000 UTC S&P Global Comp PMI Final United States-PMI-S&P Global Comp PMI Final,Index (diffusion),,51.9,,50.3,51.9,,50.3,-1.6000000000000014,actual_vs_previous,negative,negative,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260403T134500,1,False,S&P Global Comp PMI Final,ism_pmi,growth,negative,market_negative,S&P Global Comp PMI Final: -1.6000000000000014 (actual_vs_previous),S&P Global Comp PMI Final,ism_pmi,growth
2026-04-06 14:00:00,ISM N-Mfg PMI,ism_pmi,growth,US,ISM,16716098 2026-04-06 14:00:00 +0000 UTC ISM N-Mfg PMI United States-ISM - non man-ISM N-Mfg PMI,Index,,56.1,54.9,54,56.1,54.9,54.0,-0.8999999999999986,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260406T140000,1,False,ISM N-Mfg PMI,ism_pmi,growth,negative,market_negative,ISM N-Mfg PMI: -0.8999999999999986 (actual_vs_forecast),ISM N-Mfg PMI,ism_pmi,growth
2026-04-09 12:30:00,GDP Cons Spending Final | GDP Final | Initial Jobless Clm *,jobless_claims,labor,US,Dept of Labor,16601471 2026-04-09 12:30:00 +0000 UTC Initial Jobless Clm * United States-Jobless-Initial Jobless Clm *,Person,K,203K,210K,219K,203000.0,210000.0,219000.0,9000.0,actual_vs_forecast,mixed,mixed,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20260409T123000,3,True,GDP Cons Spending Final | GDP Final | Initial Jobless Clm *,"gdp,jobless_claims","growth,labor","negative,positive",market_negative,GDP Cons Spending Final: -1.6 (actual_vs_previous) | GDP Final: -0.19999999999999996 (actual_vs_forecast) | Initial Jobless Clm *: 9000.0 (actual_vs_forecast),Initial Jobless Clm *,jobless_claims,labor
