release_time,title,event_family,catalyst_category,country,source,calendar_id,unit,scale,previous,forecast,actual,previous_value,forecast_value,actual_value,surprise,surprise_basis,surprise_side
2026-05-01 14:00:00,ISM Manufacturing PMI,ism_pmi,growth,US,ISM,16500490 2026-05-01 14:00:00 +0000 UTC ISM Manufacturing PMI United States-ISM - man-ISM Manufacturing PMI,Index,,52.7,53,52.7,52.7,53.0,52.7,-0.29999999999999716,actual_vs_forecast,negative
2026-05-05 13:45:00,S&P Global Comp PMI Final,ism_pmi,growth,US,Markit,16507066 2026-05-05 13:45:00 +0000 UTC S&P Global Comp PMI Final United States-PMI-S&P Global Comp PMI Final,Index (diffusion),,50.3,,51.7,50.3,,51.7,1.4000000000000057,actual_vs_previous,positive
2026-05-05 14:00:00,ISM N-Mfg PMI,ism_pmi,growth,US,ISM,16594580 2026-05-05 14:00:00 +0000 UTC ISM N-Mfg PMI United States-ISM - non man-ISM N-Mfg PMI,Index,,54,53.7,53.6,54.0,53.7,53.6,-0.10000000000000142,actual_vs_forecast,negative
2026-05-05 14:00:00,JOLTS Job Openings,labor,labor,US,BLS,16683842 2026-05-05 14:00:00 +0000 UTC JOLTS Job Openings United States-Job Openings-JOLTS Job Openings,Person,M,6.922M,6.835M,6.866M,6922000.0,6835000.0,6866000.0,31000.0,actual_vs_forecast,positive
2026-05-06 12:15:00,ADP National Employment,labor,labor,US,ADP,16591355 2026-05-06 12:15:00 +0000 UTC ADP National Employment United States-ADP-ADP National Employment,Person,K,61K,99K,109K,61000.0,99000.0,109000.0,10000.0,actual_vs_forecast,positive
2026-05-07 12:30:00,Initial Jobless Clm *,jobless_claims,labor,US,Dept of Labor,16601475 2026-05-07 12:30:00 +0000 UTC Initial Jobless Clm * United States-Jobless-Initial Jobless Clm *,Person,K,190K,205K,200K,190000.0,205000.0,200000.0,-5000.0,actual_vs_forecast,negative
2026-05-08 12:30:00,Non-Farm Payrolls,nonfarm_payrolls,labor,US,BLS,16538776 2026-05-08 12:30:00 +0000 UTC Non-Farm Payrolls United States-Employment-Non-Farm Payrolls,Person,K,185K,62K,115K,185000.0,62000.0,115000.0,53000.0,actual_vs_forecast,positive
2026-05-08 12:30:00,Unemployment Rate,unemployment_rate,labor,US,BLS,16538776 2026-05-08 12:30:00 +0000 UTC Unemployment Rate United States-Employment-Unemployment Rate,%,,4.3%,4.3%,4.3%,4.3,4.3,4.3,0.0,actual_vs_forecast,flat
2026-05-11 14:00:00,Existing Home Sales,home_sales,growth,US,NAR,16588353 2026-05-11 14:00:00 +0000 UTC Existing Home Sales United States-Existing Homes-Existing Home Sales,Number of,M,4.01M,4.05M,4.02M,4010000.0,4050000.0,4019999.9999999995,-30000.000000000466,actual_vs_forecast,negative
2026-05-12 12:30:00,"CPI MM, SA",cpi,inflation,US,BLS,"16607377 2026-05-12 12:30:00 +0000 UTC CPI MM, SA United States-CPI-CPI MM, SA",%,,0.9%,0.6%,0.6%,0.9,0.6,0.6,0.0,actual_vs_forecast,flat
