release_time,title,catalyst_category,event_family,release_status,previous,forecast,actual,previous_value,forecast_value,actual_value,surprise,surprise_basis,raw_surprise_side,market_bias_side,market_bias_label,market_bias_score,market_rule_direction,market_rule_confidence,historical_group_type,historical_sample_size,historical_confidence_label,historical_bullish_probability,historical_raw_bullish_probability,historical_market_move_probability,historical_avg_return_pts,calibrated_bullish_probability,calibrated_bearish_probability,expected_direction,confidence,confidence_label,warning,market_rule_note,source,source_url,trust_group_type,trust_group_key,trust_sample_size,trust_primary_accuracy,trust_smoothed_primary_accuracy,trust_whipsaw_rate,trust_sample_reliability,trust_weight,trust_label,trust_note,trust_warning,trust_adjusted_bullish_probability,trust_adjusted_bearish_probability,trust_adjusted_direction,trust_adjusted_confidence,trust_adjusted_confidence_label,final_bullish_probability,final_bearish_probability,final_expected_direction,final_confidence,final_confidence_label,final_warning
2026-06-01T14:00:00,ISM Manufacturing PMI,growth,ism_pmi,released,52.7,53,54,52.7,53.0,54.0,1.0,actual_vs_forecast,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,event_family_market_bias,29,high,0.5757575757575758,0.5862068965517241,0.4545454545454545,-5.0,0.6163181818181819,0.3836818181818181,bullish,0.6131590909090909,medium,,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.,ISM,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=ism_pmi|market_bias_side=market_positive,6,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.3333333333333333,1.1427777777777777,steady,"event_family_market_bias sample=6, smoothed_accuracy=0.667, whipsaw=0.167",,0.6329258333333334,0.3670741666666666,bullish,0.6656693541666666,medium,0.6329258333333334,0.3670741666666666,bullish,0.6656693541666666,medium,
2026-06-02T14:00:00,JOLTS Job Openings,labor,jolts_job_openings,released,6.887M,6.88M,7.618M,6887000.0,6880000.0,7618000.0,738000.0,actual_vs_forecast,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,event_family_market_bias,8,medium,0.5833333333333334,0.625,0.1666666666666666,2.84375,0.4109333333333334,0.5890666666666666,bearish,0.4345333333333333,low,,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.,BLS,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=jolts_job_openings|market_bias_side=market_negative,3,0.0,0.3333333333333333,1.0,0.2,0.5379999999999999,fade,"event_family_market_bias sample=3, smoothed_accuracy=0.333, whipsaw=1.000",low_trust_sample;performance_whipsaw;trust_discount;trust_fade,0.45208213333333336,0.5479178666666666,mixed,0.2127388293333333,low,0.45208213333333336,0.5479178666666666,mixed,0.2127388293333333,low,low_trust_sample;performance_whipsaw;trust_discount;trust_fade
2026-06-03T12:15:00,ADP National Employment,labor,adp_employment,released,105K,117K,122K,105000.0,117000.0,122000.0,5000.0,actual_vs_forecast,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,event_family_market_bias,9,high,0.5384615384615384,0.5555555555555556,0.3076923076923077,-3.083333333333333,0.5060876923076923,0.4939123076923076,mixed,0.22,low,weak_direction_edge,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.,ADP,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=adp_employment|market_bias_side=market_negative,3,0.0,0.3333333333333333,0.3333333333333333,0.2,0.6913333333333332,discount,"event_family_market_bias sample=3, smoothed_accuracy=0.333, whipsaw=0.333",weak_direction_edge;low_trust_sample;trust_discount,0.5042086246153846,0.4957913753846154,mixed,0.13840493333333329,low,0.5042086246153846,0.4957913753846154,mixed,0.13840493333333329,low,weak_direction_edge;low_trust_sample;trust_discount
2026-06-03T13:45:00,S&P Global Comp PMI Final,growth,ism_pmi,released,51.7,,51.5,51.7,,51.5,-0.2000000000000028,actual_vs_previous,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,event_family_market_bias,30,high,0.6176470588235294,0.6333333333333333,0.5294117647058824,24.95833333333333,0.579135294117647,0.420864705882353,bullish,0.22,low,weak_direction_edge,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.,Markit,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=ism_pmi|market_bias_side=market_negative,3,1.0,0.6666666666666666,0.6666666666666666,0.2,1.0146666666666666,steady,"event_family_market_bias sample=3, smoothed_accuracy=0.667, whipsaw=0.667",weak_direction_edge;low_trust_sample;performance_whipsaw,0.5802959450980392,0.41970405490196083,bullish,0.20313626666666665,low,0.5802959450980392,0.41970405490196083,bullish,0.20313626666666665,low,weak_direction_edge;low_trust_sample;performance_whipsaw
2026-06-03T14:00:00,ISM N-Mfg PMI,growth,ism_pmi,released,53.6,53.8,54.5,53.6,53.8,54.5,0.7000000000000028,actual_vs_forecast,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,event_family_market_bias,29,high,0.5757575757575758,0.5862068965517241,0.4545454545454545,-5.0,0.5984681818181821,0.4015318181818179,bullish,0.6042340909090911,medium,,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.,ISM,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=ism_pmi|market_bias_side=market_positive,6,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.3333333333333333,1.1427777777777777,steady,"event_family_market_bias sample=6, smoothed_accuracy=0.667, whipsaw=0.167",,0.6125272500000003,0.3874727499999997,bullish,0.6559800270833335,medium,0.6125272500000003,0.3874727499999997,bullish,0.6559800270833335,medium,
2026-06-04T12:30:00,Initial Jobless Clm *,labor,jobless_claims,released,212K,213K,225K,212000.0,213000.0,225000.0,12000.0,actual_vs_forecast,positive,market_negative,bearish,-0.7,higher_is_bearish,0.7,event_family_market_bias,26,high,0.4,0.3846153846153846,0.2666666666666666,-30.46153846153846,0.39644,0.60356,bearish,0.6067800000000001,medium,,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.,Dept of Labor,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=jobless_claims|market_bias_side=market_negative,3,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.2,0.8813333333333333,steady,"event_family_market_bias sample=3, smoothed_accuracy=0.556, whipsaw=0.667",low_trust_sample;performance_whipsaw;confidence_cap_low_sample;confidence_cap_whipsaw;confidence_cap_low_reliability,0.40872912,0.5912708799999999,bearish,0.28,low,0.40872912,0.5912708799999999,bearish,0.28,low,low_trust_sample;performance_whipsaw;confidence_cap_low_sample;confidence_cap_whipsaw;confidence_cap_low_reliability
2026-06-05T12:30:00,Non-Farm Payrolls,labor,nonfarm_payrolls,released,179K,85K,172K,179000.0,85000.0,172000.0,87000.0,actual_vs_forecast,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,event_family_market_bias,10,high,0.5,0.5,0.5,-7.925,0.398,0.602,bearish,0.516,medium,,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.,BLS,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=nonfarm_payrolls|market_bias_side=market_negative,3,1.0,0.6666666666666666,0.6666666666666666,0.2,1.0146666666666666,steady,"event_family_market_bias sample=3, smoothed_accuracy=0.667, whipsaw=0.667",low_trust_sample;performance_whipsaw;confidence_cap_low_sample;confidence_cap_whipsaw;confidence_cap_low_reliability,0.396504,0.603496,bearish,0.28,low,0.396504,0.603496,bearish,0.28,low,low_trust_sample;performance_whipsaw;confidence_cap_low_sample;confidence_cap_whipsaw;confidence_cap_low_reliability
2026-06-05T12:30:00,Unemployment Rate,labor,unemployment_rate,released,4.3%,4.3%,4.3%,4.3,4.3,4.3,0.0,actual_vs_forecast,flat,market_neutral,neutral,-0.0,higher_is_mixed_bearish,0.35,category_market_bias,6,medium,0.6,0.6666666666666666,0.5,16.041666666666668,0.53,0.47,mixed,0.22,low,weak_direction_edge,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates.",BLS,https://www.tradingview.com/economic-calendar/?countries=us,event_family_market_bias,event_family_market_bias|event_family=unemployment_rate|market_bias_side=market_neutral,3,0.0,0.3333333333333333,0.6666666666666666,0.2,0.6146666666666666,discount,"event_family_market_bias sample=3, smoothed_accuracy=0.333, whipsaw=0.667",weak_direction_edge;low_trust_sample;performance_whipsaw;trust_discount,0.51844,0.48156,mixed,0.12305626666666665,low,0.51844,0.48156,mixed,0.12305626666666665,low,weak_direction_edge;low_trust_sample;performance_whipsaw;trust_discount
2026-06-09T14:00:00,Existing Home Sales,tax_liquidity,home_sales,waiting_actual,4.02M,4.06M,,4020000.0,4060000.0,,40000.0,forecast_vs_previous,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,event_family_market_bias,8,medium,0.5,0.5,0.25,-15.125,0.5,0.5,mixed,0.22,low,weak_direction_edge;waiting_actual,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.,NAR,https://www.tradingview.com/economic-calendar/?countries=us,market_bias_side,market_bias_side|market_bias_side=market_positive,6,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.3333333333333333,1.0,steady,"market_bias_side sample=6, smoothed_accuracy=0.667, whipsaw=0.167",weak_direction_edge;waiting_actual;fallback_trust_group;fallback_boost_capped,0.5,0.5,mixed,0.209,low,0.5,0.5,mixed,0.209,low,weak_direction_edge;waiting_actual;fallback_trust_group;fallback_boost_capped
2026-06-10T12:30:00,"CPI MM, SA",inflation,cpi,waiting_actual,0.6%,0.5%,,0.6,0.5,,-0.0999999999999999,forecast_vs_previous,negative,market_positive,bullish,1.0,higher_is_bearish,1.0,category_market_bias,8,medium,0.4166666666666667,0.375,0.4166666666666667,-21.28125,0.5506666666666666,0.4493333333333333,mixed,0.22,low,weak_direction_edge;waiting_actual,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.,BLS,https://www.tradingview.com/economic-calendar/?countries=us,market_bias_side,market_bias_side|market_bias_side=market_positive,6,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.3333333333333333,1.0,steady,"market_bias_side sample=6, smoothed_accuracy=0.667, whipsaw=0.167",weak_direction_edge;waiting_actual;fallback_trust_group;fallback_boost_capped,0.5506666666666666,0.44933333333333336,mixed,0.209,low,0.5506666666666666,0.44933333333333336,mixed,0.209,low,weak_direction_edge;waiting_actual;fallback_trust_group;fallback_boost_capped
