release_time,title,reaction_title,cluster_titles,event_family,catalyst_category,market_bias_side,raw_surprise_side,surprise,surprise_basis,predicted_direction,predicted_bullish_probability,predicted_bearish_probability,prediction_edge,confidence,confidence_label,historical_group_type,historical_sample_size,warning,reaction_source,reaction_window_label,primary_window_minutes,primary_return_pts,primary_actual_direction,was_prediction_correct,mfe_pts,mae_pts,actual_5m_return_pts,actual_5m_direction,correct_5m,mfe_5m_pts,mae_5m_pts,actual_15m_return_pts,actual_15m_direction,correct_15m,mfe_15m_pts,mae_15m_pts,actual_30m_return_pts,actual_30m_direction,correct_30m,mfe_30m_pts,mae_30m_pts,actual_60m_return_pts,actual_60m_direction,correct_60m,mfe_60m_pts,mae_60m_pts,actual_240m_return_pts,actual_240m_direction,correct_240m,mfe_240m_pts,mae_240m_pts,actual_390m_return_pts,actual_390m_direction,correct_390m,mfe_390m_pts,mae_390m_pts,direction_changed_across_windows
2026-06-01 14:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,ISM Manufacturing PMI,ism_pmi,growth,market_positive,positive,1.0,actual_vs_forecast,mixed,0.5595,0.4405,0.119,0.22,low,event_family_market_bias,30,weak_direction_edge,dabento_full_1m,60m,60,120.25,bullish,0.0,133.5,-22.0,25.25,bullish,0.0,32.5,-22.0,37.5,bullish,0.0,70.0,-22.0,97.75,bullish,0.0,107.75,-22.0,120.25,bullish,0.0,133.5,-22.0,,unknown,,,,228.0,bullish,0.0,379.0,-22.0,False
2026-06-01 14:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,ISM Manufacturing PMI,ism_pmi,growth,market_positive,positive,1.0,actual_vs_forecast,mixed,0.5595,0.4405,0.119,0.22,low,event_family_market_bias,30,weak_direction_edge,dabento_full_5m,60m,60,124.75,bullish,0.0,139.75,-4.75,66.75,bullish,0.0,76.25,-4.75,57.0,bullish,0.0,95.25,-4.75,107.5,bullish,0.0,125.25,-4.75,124.75,bullish,0.0,139.75,-4.75,,unknown,,,,246.75,bullish,0.0,385.25,-4.75,False
2026-06-01 14:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,ISM Manufacturing PMI,ism_pmi,growth,market_positive,positive,1.0,actual_vs_forecast,mixed,0.5595,0.4405,0.119,0.22,low,event_family_market_bias,30,weak_direction_edge,dabento_full_60m,60m,60,65.5,bullish,0.0,117.5,-24.25,,unknown,,,,,unknown,,,,,unknown,,,,65.5,bullish,0.0,117.5,-24.25,,unknown,,,,85.75,bullish,0.0,256.25,-24.25,False
2026-06-02 14:00:00,JOLTS Job Openings,JOLTS Job Openings,JOLTS Job Openings,jolts_job_openings,labor,market_negative,positive,738000.0,actual_vs_forecast,bearish,0.4109333333333334,0.5890666666666666,0.17813333333333325,0.4345333333333333,low,event_family_market_bias,8,,dabento_full_1m,60m,60,37.25,bullish,0.0,46.5,-63.0,3.25,bullish,0.0,8.75,-30.75,26.5,bullish,0.0,46.5,-30.75,-40.25,bearish,1.0,46.5,-63.0,37.25,bullish,0.0,46.5,-63.0,,unknown,,,,139.25,bullish,0.0,162.5,-63.0,True
2026-06-02 14:00:00,JOLTS Job Openings,JOLTS Job Openings,JOLTS Job Openings,jolts_job_openings,labor,market_negative,positive,738000.0,actual_vs_forecast,bearish,0.4109333333333334,0.5890666666666666,0.17813333333333325,0.4345333333333333,low,event_family_market_bias,8,,dabento_full_5m,60m,60,23.0,bullish,0.0,45.0,-66.25,7.75,bullish,0.0,19.75,-10.5,22.5,bullish,0.0,43.25,-10.5,-8.5,bearish,1.0,43.25,-66.25,23.0,bullish,0.0,45.0,-66.25,,unknown,,,,137.0,bullish,0.0,159.25,-66.25,True
2026-06-02 14:00:00,JOLTS Job Openings,JOLTS Job Openings,JOLTS Job Openings,jolts_job_openings,labor,market_negative,positive,738000.0,actual_vs_forecast,bearish,0.4109333333333334,0.5890666666666666,0.17813333333333325,0.4345333333333333,low,event_family_market_bias,8,,dabento_full_60m,60m,60,47.25,bullish,0.0,55.5,-30.5,,unknown,,,,,unknown,,,,,unknown,,,,47.25,bullish,0.0,55.5,-30.5,,unknown,,,,100.75,bullish,0.0,121.0,-43.75,False
2026-06-03 12:15:00,ADP National Employment,ADP National Employment,ADP National Employment,adp_employment,labor,market_negative,positive,5000.0,actual_vs_forecast,mixed,0.4368569230769231,0.563143076923077,0.12628615384615383,0.22,low,event_family_market_bias,9,weak_direction_edge,dabento_full_1m,60m,60,-37.5,bearish,0.0,2.75,-74.5,-6.25,bearish,0.0,2.75,-16.0,-31.0,bearish,0.0,2.75,-34.0,-47.25,bearish,0.0,2.75,-71.0,-37.5,bearish,0.0,2.75,-74.5,,unknown,,,,-119.75,bearish,0.0,33.25,-278.5,False
2026-06-03 12:15:00,ADP National Employment,ADP National Employment,ADP National Employment,adp_employment,labor,market_negative,positive,5000.0,actual_vs_forecast,mixed,0.4368569230769231,0.563143076923077,0.12628615384615383,0.22,low,event_family_market_bias,9,weak_direction_edge,dabento_full_5m,60m,60,-21.0,bearish,0.0,10.25,-65.0,3.75,bullish,0.0,10.25,-1.25,-34.0,bearish,0.0,10.25,-39.0,-37.25,bearish,0.0,10.25,-61.5,-21.0,bearish,0.0,10.25,-65.0,,unknown,,,,-114.5,bearish,0.0,42.75,-269.0,True
2026-06-03 12:15:00,ADP National Employment,ADP National Employment,ADP National Employment,adp_employment,labor,market_negative,positive,5000.0,actual_vs_forecast,mixed,0.4368569230769231,0.563143076923077,0.12628615384615383,0.22,low,event_family_market_bias,9,weak_direction_edge,dabento_full_60m,60m,60,-158.5,bearish,0.0,90.5,-221.25,,unknown,,,,,unknown,,,,,unknown,,,,-158.5,bearish,0.0,90.5,-221.25,,unknown,,,,-65.25,bearish,0.0,90.5,-221.25,False
2026-06-03 13:45:00,S&P Global Comp PMI Final,S&P Global Comp PMI Final,S&P Global Comp PMI Final,ism_pmi,growth,market_negative,negative,-0.2000000000000028,actual_vs_previous,mixed,0.4908999999999998,0.5091000000000002,0.018200000000000438,0.22,low,event_family_market_bias,30,weak_direction_edge,dabento_full_1m,60m,60,100.25,bullish,0.0,136.0,-107.5,-49.25,bearish,0.0,-0.25,-107.5,7.0,bullish,0.0,21.5,-107.5,89.75,bullish,0.0,100.25,-107.5,100.25,bullish,0.0,136.0,-107.5,,unknown,,,,-54.25,bearish,0.0,136.0,-107.5,True
