group_type,reaction_source,event_family,catalyst_category,market_bias_side,confidence_label,sample_size,avg_predicted_bullish_probability,avg_confidence,avg_primary_return_pts,primary_accuracy,whipsaw_rate,accuracy_5m,avg_return_5m_pts,accuracy_15m,avg_return_15m_pts,accuracy_30m,avg_return_30m_pts,accuracy_60m,avg_return_60m_pts,accuracy_240m,avg_return_240m_pts,accuracy_390m,avg_return_390m_pts
catalyst_category,,,labor,,,15,0.44829220512820517,0.39946266666666663,-57.86666666666667,0.3333333333333333,0.6666666666666666,0.1,4.375,0.0,27.525,0.4,-15.425,0.3333333333333333,-57.86666666666667,0.4,-214.6,0.2,-325.9
catalyst_category,,,growth,,,9,0.5979738859180037,0.47913106060606064,84.08333333333333,0.8888888888888888,0.3333333333333333,0.8333333333333334,20.166666666666668,1.0,56.333333333333336,1.0,106.54166666666667,0.8888888888888888,84.08333333333333,0.6666666666666666,85.16666666666667,0.5,11.916666666666666
confidence_label,,,,,low,12,0.5065390799396682,0.2736333333333334,-9.770833333333334,0.25,0.6666666666666666,0.125,2.15625,0.25,23.25,0.625,8.6875,0.25,-9.770833333333334,0.5,-148.5625,0.125,-231.75
confidence_label,,,,,medium,12,0.5023065909090909,0.5850432954545456,0.5,0.8333333333333334,0.4166666666666667,0.625,18.4375,0.5,53.40625,0.625,51.9375,0.8333333333333334,0.5,0.5,-55.8125,0.5,-166.6875
event_family,,ism_pmi,,,,9,0.5979738859180037,0.47913106060606064,84.08333333333333,0.8888888888888888,0.3333333333333333,0.8333333333333334,20.166666666666668,1.0,56.333333333333336,1.0,106.54166666666667,0.8888888888888888,84.08333333333333,0.6666666666666666,85.16666666666667,0.5,11.916666666666666
event_family,,adp_employment,,,,3,0.5060876923076923,0.22,-72.33333333333333,0.0,0.3333333333333333,0.0,-1.25,0.0,-32.5,0.0,-42.25,0.0,-72.33333333333333,0.0,-110.5,0.0,-89.875
event_family,,jobless_claims,,,,3,0.39643999999999996,0.6067800000000001,-3.5,0.6666666666666666,0.6666666666666666,0.0,9.375,0.0,47.625,0.0,30.25,0.6666666666666666,-3.5,0.0,169.25,0.0,240.0
event_family,,jolts_job_openings,,,,3,0.4109333333333334,0.43453333333333327,35.833333333333336,0.0,1.0,0.0,5.5,0.0,24.5,1.0,-24.375,0.0,35.833333333333336,1.0,-3.75,0.0,118.875
event_family,,nonfarm_payrolls,,,,3,0.39799999999999996,0.516,-124.66666666666667,1.0,0.6666666666666666,0.5,4.125,0.0,49.0,0.5,-20.375,1.0,-124.66666666666667,1.0,-564.0,1.0,-949.25
event_family,,unemployment_rate,,,,3,0.53,0.22,-124.66666666666667,0.0,0.6666666666666666,0.0,4.125,0.0,49.0,0.5,-20.375,0.0,-124.66666666666667,0.0,-564.0,0.0,-949.25
event_family_market_bias,,ism_pmi,,market_positive,,6,0.607393181818182,0.608696590909091,65.08333333333333,0.8333333333333334,0.16666666666666666,1.0,30.125,1.0,58.5,1.0,98.9375,0.8333333333333334,65.08333333333333,0.5,85.75,0.5,21.25
event_family_market_bias,,adp_employment,,market_negative,,3,0.5060876923076923,0.22,-72.33333333333333,0.0,0.3333333333333333,0.0,-1.25,0.0,-32.5,0.0,-42.25,0.0,-72.33333333333333,0.0,-110.5,0.0,-89.875
event_family_market_bias,,ism_pmi,,market_negative,,3,0.579135294117647,0.22,122.08333333333333,1.0,0.6666666666666666,0.5,0.25,1.0,52.0,1.0,121.75,1.0,122.08333333333333,1.0,84.0,0.5,-6.75
event_family_market_bias,,jobless_claims,,market_negative,,3,0.39643999999999996,0.6067800000000001,-3.5,0.6666666666666666,0.6666666666666666,0.0,9.375,0.0,47.625,0.0,30.25,0.6666666666666666,-3.5,0.0,169.25,0.0,240.0
event_family_market_bias,,jolts_job_openings,,market_negative,,3,0.4109333333333334,0.43453333333333327,35.833333333333336,0.0,1.0,0.0,5.5,0.0,24.5,1.0,-24.375,0.0,35.833333333333336,1.0,-3.75,0.0,118.875
event_family_market_bias,,nonfarm_payrolls,,market_negative,,3,0.39799999999999996,0.516,-124.66666666666667,1.0,0.6666666666666666,0.5,4.125,0.0,49.0,0.5,-20.375,1.0,-124.66666666666667,1.0,-564.0,1.0,-949.25
event_family_market_bias,,unemployment_rate,,market_neutral,,3,0.53,0.22,-124.66666666666667,0.0,0.6666666666666666,0.0,4.125,0.0,49.0,0.5,-20.375,0.0,-124.66666666666667,0.0,-564.0,0.0,-949.25
market_bias_side,,,,market_negative,,15,0.45811926395173447,0.3994626666666667,-8.516666666666667,0.5333333333333333,0.6666666666666666,0.2,3.6,0.2,28.125,0.5,13.0,0.5333333333333333,-8.516666666666667,0.6,-85.0,0.3,-137.4
market_bias_side,,,,market_positive,,6,0.607393181818182,0.608696590909091,65.08333333333333,0.8333333333333334,0.16666666666666666,1.0,30.125,1.0,58.5,1.0,98.9375,0.8333333333333334,65.08333333333333,0.5,85.75,0.5,21.25
market_bias_side,,,,market_neutral,,3,0.53,0.22,-124.66666666666667,0.0,0.6666666666666666,0.0,4.125,0.0,49.0,0.5,-20.375,0.0,-124.66666666666667,0.0,-564.0,0.0,-949.25
overall,,,,,,24,0.5044228354243795,0.4293383143939395,-4.635416666666667,0.5416666666666666,0.5416666666666666,0.375,10.296875,0.375,38.328125,0.625,30.3125,0.5416666666666666,-4.635416666666667,0.5,-102.1875,0.3125,-199.21875
reaction_source,1m,,,,,8,0.5044228354243796,0.42933831439393944,14.0,0.625,0.625,0.375,-5.21875,0.375,28.53125,0.625,19.3125,0.625,14.0,,,,
reaction_source,5m,,,,,8,0.5044228354243796,0.42933831439393944,50.03125,0.5,0.625,0.375,25.8125,0.375,48.125,0.625,41.3125,0.5,50.03125,,,0.375,-146.53125
reaction_source,60m,,,,,8,0.5044228354243796,0.42933831439393944,-77.9375,0.5,0.375,,,,,,,0.5,-77.9375,0.5,-102.1875,0.25,-251.90625
source_bias,1m,,,market_negative,,5,0.4581192639517345,0.3994626666666667,-0.3,0.6,0.8,0.2,-13.0,0.2,14.8,0.6,-1.45,0.6,-0.3,,,,
source_bias,5m,,,market_negative,,5,0.4581192639517345,0.3994626666666667,43.8,0.4,0.6,0.2,20.2,0.2,41.45,0.4,27.45,0.4,43.8,,,0.4,-96.65
source_bias,60m,,,market_negative,,5,0.4581192639517345,0.3994626666666667,-69.05,0.6,0.6,,,,,,,0.6,-69.05,0.6,-85.0,0.2,-178.15
source_bias,1m,,,market_positive,,2,0.6073931818181819,0.608696590909091,94.625,1.0,0.0,1.0,19.375,1.0,60.125,1.0,101.25,1.0,94.625,,,,
source_bias,5m,,,market_positive,,2,0.6073931818181819,0.608696590909091,99.375,1.0,0.5,1.0,40.875,1.0,56.875,1.0,96.625,1.0,99.375,,,0.5,85.75
source_bias,60m,,,market_positive,,2,0.6073931818181819,0.608696590909091,1.25,0.5,0.0,,,,,,,0.5,1.25,0.5,85.75,0.5,-43.25
source_bias,1m,,,market_neutral,,1,0.53,0.22,-75.75,0.0,1.0,0.0,-15.5,0.0,34.0,0.0,-40.75,0.0,-75.75,,,,
source_bias,5m,,,market_neutral,,1,0.53,0.22,-17.5,0.0,1.0,0.0,23.75,0.0,64.0,1.0,0.0,0.0,-17.5,,,0.0,-860.5
source_bias,60m,,,market_neutral,,1,0.53,0.22,-280.75,0.0,0.0,,,,,,,0.0,-280.75,0.0,-564.0,0.0,-1038.0
source_family,1m,ism_pmi,,,,3,0.5979738859180036,0.47913106060606064,96.5,1.0,0.3333333333333333,0.6666666666666666,-3.5,1.0,42.416666666666664,1.0,97.41666666666667,1.0,96.5,,,,
source_family,5m,ism_pmi,,,,3,0.5979738859180036,0.47913106060606064,118.75,1.0,0.3333333333333333,1.0,43.833333333333336,1.0,70.25,1.0,115.66666666666667,1.0,118.75,,,0.6666666666666666,73.91666666666667
source_family,60m,ism_pmi,,,,3,0.5979738859180036,0.47913106060606064,37.0,0.6666666666666666,0.3333333333333333,,,,,,,0.6666666666666666,37.0,0.6666666666666666,85.16666666666667,0.3333333333333333,-50.083333333333336
source_family,1m,adp_employment,,,,1,0.5060876923076923,0.22,-37.5,0.0,0.0,0.0,-6.25,0.0,-31.0,0.0,-47.25,0.0,-37.5,,,,
source_family,1m,jobless_claims,,,,1,0.39644,0.6067800000000001,-25.75,1.0,1.0,0.0,2.75,0.0,37.5,0.0,31.25,1.0,-25.75,,,,
source_family,1m,jolts_job_openings,,,,1,0.4109333333333334,0.4345333333333333,37.25,0.0,1.0,0.0,3.25,0.0,26.5,1.0,-40.25,0.0,37.25,,,,
source_family,1m,nonfarm_payrolls,,,,1,0.398,0.516,-75.75,1.0,1.0,1.0,-15.5,0.0,34.0,1.0,-40.75,1.0,-75.75,,,,
source_family,1m,unemployment_rate,,,,1,0.53,0.22,-75.75,0.0,1.0,0.0,-15.5,0.0,34.0,0.0,-40.75,0.0,-75.75,,,,
source_family,5m,adp_employment,,,,1,0.5060876923076923,0.22,-21.0,0.0,1.0,0.0,3.75,0.0,-34.0,0.0,-37.25,0.0,-21.0,,,0.0,-114.5
