group_type,reaction_source,event_family,catalyst_category,market_bias_side,confidence_label,sample_size,avg_predicted_bullish_probability,avg_confidence,avg_primary_return_pts,primary_accuracy,whipsaw_rate,accuracy_5m,avg_return_5m_pts,accuracy_15m,avg_return_15m_pts,accuracy_30m,avg_return_30m_pts,accuracy_60m,avg_return_60m_pts,accuracy_240m,avg_return_240m_pts,accuracy_390m,avg_return_390m_pts,smoothed_primary_accuracy,sample_reliability,trust_weight,trust_label,group_key,usable_for_live_signal,trust_note
catalyst_category,,,labor,,,5,0.4103992077294686,0.3729926183574879,-146.9,0.4,0.2,,,,,0.6666666666666666,-207.75,0.4,-146.9,,,0.2,-373.25,0.45454545454545453,0.29411764705882354,0.8662566844919786,steady,catalyst_category|catalyst_category=labor,True,"catalyst_category sample=5, smoothed_accuracy=0.455, whipsaw=0.200"
catalyst_category,,,growth,,,3,0.4956833333333333,0.3456833333333333,37.0,0.0,0.3333333333333333,,,0.0,108.5,0.0,108.5,0.0,37.0,,,0.3333333333333333,-50.083333333333336,0.3333333333333333,0.2,0.6913333333333332,discount,catalyst_category|catalyst_category=growth,True,"catalyst_category sample=3, smoothed_accuracy=0.333, whipsaw=0.333"
confidence_label,,,,,low,5,0.4777922222222223,0.2454111111111111,-77.9,0.0,0.0,,,,,0.0,-280.75,0.0,-77.9,,,0.0,-217.95,0.2727272727272727,0.29411764705882354,0.6883422459893048,discount,confidence_label|confidence_label=low,True,"confidence_label sample=5, smoothed_accuracy=0.273, whipsaw=0.000"
confidence_label,,,,,medium,3,0.3833616425120772,0.5583191787439614,-78.0,0.6666666666666666,0.6666666666666666,,,0.0,108.5,0.6666666666666666,-78.0,0.6666666666666666,-78.0,,,0.6666666666666666,-308.9166666666667,0.5555555555555556,0.2,0.8813333333333333,steady,confidence_label|confidence_label=medium,True,"confidence_label sample=3, smoothed_accuracy=0.556, whipsaw=0.667"
event_family,,ism_pmi,,,,3,0.4956833333333333,0.3456833333333333,37.0,0.0,0.3333333333333333,,,0.0,108.5,0.0,108.5,0.0,37.0,,,0.3333333333333333,-50.083333333333336,0.3333333333333333,0.2,0.6913333333333332,discount,event_family|event_family=ism_pmi,True,"event_family sample=3, smoothed_accuracy=0.333, whipsaw=0.333"
event_family,,adp_employment,,,,1,0.4985888888888889,0.22,-158.5,0.0,0.0,,,,,,,0.0,-158.5,,,0.0,-65.25,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,event_family|event_family=adp_employment,True,"event_family sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
event_family,,jobless_claims,,,,1,0.3899182608695652,0.6100408695652174,-61.75,1.0,1.0,,,,,1.0,-61.75,1.0,-61.75,,,0.0,175.75,0.5714285714285714,0.07692307692307693,0.8328571428571427,discount,event_family|event_family=jobless_claims,True,"event_family sample=1, smoothed_accuracy=0.571, whipsaw=1.000"
event_family,,jolts_job_openings,,,,1,0.3608888888888888,0.3470555555555555,47.25,0.0,0.0,,,,,,,0.0,47.25,,,0.0,100.75,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,event_family|event_family=jolts_job_openings,True,"event_family sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
event_family,,nonfarm_payrolls,,,,1,0.3442666666666666,0.4678666666666666,-280.75,1.0,0.0,,,,,1.0,-280.75,1.0,-280.75,,,1.0,-1038.75,0.5714285714285714,0.07692307692307693,1.0443956043956044,steady,event_family|event_family=nonfarm_payrolls,True,"event_family sample=1, smoothed_accuracy=0.571, whipsaw=0.000"
event_family,,unemployment_rate,,,,1,0.4583333333333333,0.22,-280.75,0.0,0.0,,,,,0.0,-280.75,0.0,-280.75,,,0.0,-1038.75,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,event_family|event_family=unemployment_rate,True,"event_family sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
event_family_market_bias,,ism_pmi,,market_positive,,2,0.5355750000000001,0.22,1.25,0.0,0.0,,,,,,,0.0,1.25,,,0.0,-43.25,0.375,0.14285714285714285,0.8192857142857143,discount,event_family_market_bias|event_family=ism_pmi|market_bias_side=market_positive,True,"event_family_market_bias sample=2, smoothed_accuracy=0.375, whipsaw=0.000"
event_family_market_bias,,adp_employment,,market_negative,,1,0.4985888888888889,0.22,-158.5,0.0,0.0,,,,,,,0.0,-158.5,,,0.0,-65.25,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,event_family_market_bias|event_family=adp_employment|market_bias_side=market_negative,True,"event_family_market_bias sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
event_family_market_bias,,ism_pmi,,market_negative,,1,0.4158999999999999,0.5970500000000001,108.5,0.0,1.0,,,0.0,108.5,0.0,108.5,0.0,108.5,,,1.0,-63.75,0.42857142857142855,0.07692307692307693,0.6702197802197801,discount,event_family_market_bias|event_family=ism_pmi|market_bias_side=market_negative,True,"event_family_market_bias sample=1, smoothed_accuracy=0.429, whipsaw=1.000"
event_family_market_bias,,jobless_claims,,market_negative,,1,0.3899182608695652,0.6100408695652174,-61.75,1.0,1.0,,,,,1.0,-61.75,1.0,-61.75,,,0.0,175.75,0.5714285714285714,0.07692307692307693,0.8328571428571427,discount,event_family_market_bias|event_family=jobless_claims|market_bias_side=market_negative,True,"event_family_market_bias sample=1, smoothed_accuracy=0.571, whipsaw=1.000"
event_family_market_bias,,jolts_job_openings,,market_negative,,1,0.3608888888888888,0.3470555555555555,47.25,0.0,0.0,,,,,,,0.0,47.25,,,0.0,100.75,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,event_family_market_bias|event_family=jolts_job_openings|market_bias_side=market_negative,True,"event_family_market_bias sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
event_family_market_bias,,nonfarm_payrolls,,market_negative,,1,0.3442666666666666,0.4678666666666666,-280.75,1.0,0.0,,,,,1.0,-280.75,1.0,-280.75,,,1.0,-1038.75,0.5714285714285714,0.07692307692307693,1.0443956043956044,steady,event_family_market_bias|event_family=nonfarm_payrolls|market_bias_side=market_negative,True,"event_family_market_bias sample=1, smoothed_accuracy=0.571, whipsaw=0.000"
event_family_market_bias,,unemployment_rate,,market_neutral,,1,0.4583333333333333,0.22,-280.75,0.0,0.0,,,,,0.0,-280.75,0.0,-280.75,,,0.0,-1038.75,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,event_family_market_bias|event_family=unemployment_rate|market_bias_side=market_neutral,True,"event_family_market_bias sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
market_bias_side,,,,market_negative,,5,0.4019125410628019,0.4484026183574879,-69.05,0.4,0.4,,,0.0,108.5,0.6666666666666666,-78.0,0.4,-69.05,,,0.4,-178.25,0.45454545454545453,0.29411764705882354,0.8174331550802139,discount,market_bias_side|market_bias_side=market_negative,True,"market_bias_side sample=5, smoothed_accuracy=0.455, whipsaw=0.400"
market_bias_side,,,,market_positive,,2,0.5355750000000001,0.22,1.25,0.0,0.0,,,,,,,0.0,1.25,,,0.0,-43.25,0.375,0.14285714285714285,0.8192857142857143,discount,market_bias_side|market_bias_side=market_positive,True,"market_bias_side sample=2, smoothed_accuracy=0.375, whipsaw=0.000"
market_bias_side,,,,market_neutral,,1,0.4583333333333333,0.22,-280.75,0.0,0.0,,,,,0.0,-280.75,0.0,-280.75,,,0.0,-1038.75,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,market_bias_side|market_bias_side=market_neutral,True,"market_bias_side sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
overall,,,,,,8,0.4423807548309179,0.3627516364734299,-77.9375,0.25,0.25,,,0.0,108.5,0.5,-128.6875,0.25,-77.9375,,,0.25,-252.0625,0.35714285714285715,0.4,0.7252857142857143,discount,overall,True,"overall sample=8, smoothed_accuracy=0.357, whipsaw=0.250"
reaction_source,dabento_60m_long,,,,,8,0.4423807548309179,0.3627516364734299,-77.9375,0.25,0.25,,,0.0,108.5,0.5,-128.6875,0.25,-77.9375,,,0.25,-252.0625,0.35714285714285715,0.4,0.7252857142857143,discount,reaction_source|reaction_source=dabento_60m_long,False,"reaction_source sample=8, smoothed_accuracy=0.357, whipsaw=0.250"
source_bias,dabento_60m_long,,,market_negative,,5,0.4019125410628019,0.4484026183574879,-69.05,0.4,0.4,,,0.0,108.5,0.6666666666666666,-78.0,0.4,-69.05,,,0.4,-178.25,0.45454545454545453,0.29411764705882354,0.8174331550802139,discount,source_bias|reaction_source=dabento_60m_long|market_bias_side=market_negative,False,"source_bias sample=5, smoothed_accuracy=0.455, whipsaw=0.400"
source_bias,dabento_60m_long,,,market_positive,,2,0.5355750000000001,0.22,1.25,0.0,0.0,,,,,,,0.0,1.25,,,0.0,-43.25,0.375,0.14285714285714285,0.8192857142857143,discount,source_bias|reaction_source=dabento_60m_long|market_bias_side=market_positive,False,"source_bias sample=2, smoothed_accuracy=0.375, whipsaw=0.000"
source_bias,dabento_60m_long,,,market_neutral,,1,0.4583333333333333,0.22,-280.75,0.0,0.0,,,,,0.0,-280.75,0.0,-280.75,,,0.0,-1038.75,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,source_bias|reaction_source=dabento_60m_long|market_bias_side=market_neutral,False,"source_bias sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
source_family,dabento_60m_long,ism_pmi,,,,3,0.4956833333333333,0.3456833333333333,37.0,0.0,0.3333333333333333,,,0.0,108.5,0.0,108.5,0.0,37.0,,,0.3333333333333333,-50.083333333333336,0.3333333333333333,0.2,0.6913333333333332,discount,source_family|reaction_source=dabento_60m_long|event_family=ism_pmi,False,"source_family sample=3, smoothed_accuracy=0.333, whipsaw=0.333"
source_family,dabento_60m_long,adp_employment,,,,1,0.4985888888888889,0.22,-158.5,0.0,0.0,,,,,,,0.0,-158.5,,,0.0,-65.25,0.42857142857142855,0.07692307692307693,0.8817582417582417,steady,source_family|reaction_source=dabento_60m_long|event_family=adp_employment,False,"source_family sample=1, smoothed_accuracy=0.429, whipsaw=0.000"
source_family,dabento_60m_long,jobless_claims,,,,1,0.3899182608695652,0.6100408695652174,-61.75,1.0,1.0,,,,,1.0,-61.75,1.0,-61.75,,,0.0,175.75,0.5714285714285714,0.07692307692307693,0.8328571428571427,discount,source_family|reaction_source=dabento_60m_long|event_family=jobless_claims,False,"source_family sample=1, smoothed_accuracy=0.571, whipsaw=1.000"
