date,status,clean_candidate,has_reference,reference_within_tolerance,candidate_ohlc_valid,source_tick_issue,rounded_to_tick,max_abs_ohlc_diff,source_open,candidate_open,reference_open,open_abs_diff,source_high,candidate_high,reference_high,high_abs_diff,source_low,candidate_low,reference_low,low_abs_diff,source_close,candidate_close,reference_close,close_abs_diff,candidate_volume
2020-01-01,no_reference,False,False,False,True,True,True,,8772.0,8772.0,,,8783.62,8783.5,,,8769.75,8769.75,,,8776.38,8776.5,,,0.0
2020-01-02,clean,True,True,True,True,False,False,0.0,8776.75,8776.75,8776.75,0.0,8901.5,8901.5,8901.5,0.0,8769.5,8769.5,8769.5,0.0,8891.75,8891.75,8891.75,0.0,416640.0
2020-01-03,clean,True,True,True,True,False,False,0.0,8895.5,8895.5,8895.5,0.0,8907.25,8907.25,8907.25,0.0,8735.25,8735.25,8735.25,0.0,8810.0,8810.0,8810.0,0.0,599890.0
2020-01-06,clean,True,True,True,True,False,False,0.0,8772.25,8772.25,8772.25,0.0,8873.0,8873.0,8873.0,0.0,8723.0,8723.0,8723.0,0.0,8847.5,8847.5,8847.5,0.0,469510.0
2020-01-07,clean,True,True,True,True,False,False,0.0,8853.25,8853.25,8853.25,0.0,8894.75,8894.75,8894.75,0.0,8825.75,8825.75,8825.75,0.0,8853.0,8853.0,8853.0,0.0,510000.0
2020-01-08,clean,True,True,True,True,False,False,0.0,8841.5,8841.5,8841.5,0.0,8972.25,8972.25,8972.25,0.0,8678.0,8678.0,8678.0,0.0,8944.5,8944.5,8944.5,0.0,723090.0
2020-01-09,clean,True,True,True,True,False,False,0.0,8948.75,8948.75,8948.75,0.0,9022.25,9022.25,9022.25,0.0,8932.5,8932.5,8932.5,0.0,9009.0,9009.0,9009.0,0.0,457260.0
2020-01-10,clean,True,True,True,True,False,False,0.0,9010.0,9010.0,9010.0,0.0,9055.5,9055.5,9055.5,0.0,8966.25,8966.25,8966.25,0.0,8978.25,8978.25,8978.25,0.0,472170.0
2020-01-13,clean,True,True,True,True,False,False,0.0,8979.0,8979.0,8979.0,0.0,9095.5,9095.5,9095.5,0.0,8979.0,8979.0,8979.0,0.0,9088.25,9088.25,9088.25,0.0,380440.0
2020-01-14,clean,True,True,True,True,False,False,0.0,9087.75,9087.75,9087.75,0.0,9114.75,9114.75,9114.75,0.0,9035.0,9035.0,9035.0,0.0,9062.5,9062.5,9062.5,0.0,553340.0
2020-01-15,clean,True,True,True,True,False,False,0.0,9062.0,9062.0,9062.0,0.0,9096.0,9096.0,9096.0,0.0,9023.0,9023.0,9023.0,0.0,9060.0,9060.0,9060.0,0.0,497100.0
2020-01-16,clean,True,True,True,True,False,False,0.0,9061.75,9061.75,9061.75,0.0,9140.25,9140.25,9140.25,0.0,9061.5,9061.5,9061.5,0.0,9133.5,9133.5,9133.5,0.0,397880.0
2020-01-17,clean,True,True,True,True,False,False,0.0,9137.0,9137.0,9137.0,0.0,9189.25,9189.25,9189.25,0.0,9130.0,9130.0,9130.0,0.0,9174.5,9174.5,9174.5,0.0,438670.0
2020-01-20,no_reference,False,False,False,True,True,True,,9184.88,9185.0,,,9187.0,9187.0,,,9160.62,9160.5,,,9169.88,9170.0,,,0.0
2020-01-21,clean,True,True,True,True,False,False,0.0,9174.0,9174.0,9174.0,0.0,9199.75,9199.75,9199.75,0.0,9114.75,9114.75,9114.75,0.0,9169.75,9169.75,9169.75,0.0,532160.0
2020-01-22,clean,True,True,True,True,False,False,0.0,9179.5,9179.5,9179.5,0.0,9254.0,9254.0,9254.0,0.0,9174.25,9174.25,9174.25,0.0,9195.75,9195.75,9195.75,0.0,519020.0
