release_time,title,event_family,catalyst_category,country,source,calendar_id,unit,scale,previous,forecast,actual,previous_value,forecast_value,actual_value,surprise,surprise_basis,surprise_side,raw_surprise_side,market_bias_side,market_bias_label,market_bias_score,market_rule_direction,market_rule_confidence,market_rule_note
2010-06-10 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13813694 2010-06-10 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,458K,448K,459K,458000.0,448000.0,459000.0,11000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.7,higher_is_bearish,0.7,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.
2010-06-11 12:30:00,Retail Sales MM *,retail_sales,growth,US,Dept of Commerce,13819384 2010-06-11 12:30:00 +0000 UTC Retail Sales MM * United States-Retail Sales-Retail Sales MM *,%,,0.9%,0.2%,-0.9%,0.9,0.2,-0.9,-1.1,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2010-06-16 12:30:00,Building Permits: Number *,other,other,US,Dept of Commerce,13946982 2010-06-16 12:30:00 +0000 UTC Building Permits: Number * United States-House Starts-Building Permits: Number *,Number of,M,0.606M,0.63M,0.574M,606000.0,630000.0,574000.0,-56000.0,actual_vs_forecast,negative,negative,market_unknown,mixed,-0.0,unknown,0.0,No reliable one-number market direction rule; treat as a volatility catalyst.
2010-06-17 12:30:00,"Core CPI YY, NSA*",core_cpi,inflation,US,BLS,"13729632 2010-06-17 12:30:00 +0000 UTC Core CPI YY, NSA* United States-CPI-Core CPI YY, NSA*",%,,0.9%,0.9%,0.9%,0.9,0.9,0.9,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-06-17 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13775104 2010-06-17 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,459K,450K,467K,459000.0,450000.0,467000.0,17000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.7,higher_is_bearish,0.7,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.
2010-06-17 12:30:00,"Core CPI MM, SA*",core_cpi,inflation,US,BLS,"13783887 2010-06-17 12:30:00 +0000 UTC Core CPI MM, SA* United States-CPI-Core CPI MM, SA*",%,,0%,0.1%,0.1%,0.0,0.1,0.1,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-06-17 12:30:00,"CPI MM, SA*",cpi,inflation,US,BLS,"13813088 2010-06-17 12:30:00 +0000 UTC CPI MM, SA* United States-CPI-CPI MM, SA*",%,,0%,-0.2%,-0.1%,0.0,-0.2,-0.1,0.1,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-06-17 12:30:00,"CPI YY, NSA*",cpi,inflation,US,BLS,"13919227 2010-06-17 12:30:00 +0000 UTC CPI YY, NSA* United States-CPI-CPI YY, NSA*",%,,2.2%,2%,2%,2.2,2.0,2.0,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-06-22 14:00:00,Existing Home Sales,home_sales,growth,US,NAR,13746010 2010-06-22 14:00:00 +0000 UTC Existing Home Sales United States-Existing Homes-Existing Home Sales,Number of,M,4.82M,6.12M,4.88M,4820000.0,6120000.0,4880000.0,-1240000.0,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2010-06-23 18:15:00,Fed Funds Tgt Rate *,fomc_rates,central_bank,US,FOMC,13740022 2010-06-23 18:15:00 +0000 UTC Fed Funds Tgt Rate * United States-Fed policy decision-Fed Funds Tgt Rate *,%,,0.125%,,0.125%,0.125,,0.125,0.0,actual_vs_previous,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher rates or hawkish guidance are usually bearish for rate-sensitive equities.
2010-06-24 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13780704 2010-06-24 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,467K,460K,452K,467000.0,460000.0,452000.0,-8000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.7,higher_is_bearish,0.7,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.
2010-06-30 12:15:00,ADP National Employment*,adp_employment,labor,US,ADP,14590298 2010-06-30 12:15:00 +0000 UTC ADP National Employment* United States-ADP-ADP National Employment*,Person,K,95K,60K,22K,95000.0,60000.0,22000.0,-38000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2010-07-01 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13787602 2010-07-01 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,452K,452K,464K,452000.0,452000.0,464000.0,12000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.7,higher_is_bearish,0.7,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.
2010-07-01 14:00:00,ISM Manufacturing PMI,ism_pmi,growth,US,ISM,14568313 2010-07-01 14:00:00 +0000 UTC ISM Manufacturing PMI United States-ISM - man-ISM Manufacturing PMI,Index,,57.4,59,56.5,57.4,59.0,56.5,-2.5,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2010-07-02 12:30:00,Non-Farm Payrolls*,nonfarm_payrolls,labor,US,BLS,13767395 2010-07-02 12:30:00 +0000 UTC Non-Farm Payrolls* United States-Employment-Non-Farm Payrolls*,Person,K,530K,-110K,-144K,530000.0,-110000.0,-144000.0,-34000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2010-07-02 12:30:00,Unemployment Rate*,unemployment_rate,labor,US,BLS,13778097 2010-07-02 12:30:00 +0000 UTC Unemployment Rate* United States-Employment-Unemployment Rate*,%,,9.6%,9.8%,9.4%,9.6,9.8,9.4,-0.40000000000000036,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2010-07-06 14:00:00,ISM N-Mfg PMI,ism_pmi,growth,US,ISM,13750411 2010-07-06 14:00:00 +0000 UTC ISM N-Mfg PMI United States-ISM - non man-ISM N-Mfg PMI,Index,,55.5,55,54.4,55.5,55.0,54.4,-0.6000000000000014,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2010-07-08 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13815782 2010-07-08 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,464K,460K,454K,464000.0,460000.0,454000.0,-6000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.7,higher_is_bearish,0.7,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.
2010-07-14 12:30:00,Retail Sales MM *,retail_sales,growth,US,Dept of Commerce,13788299 2010-07-14 12:30:00 +0000 UTC Retail Sales MM * United States-Retail Sales-Retail Sales MM *,%,,-0.9%,-0.2%,-0.1%,-0.9,-0.2,-0.1,0.1,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2010-07-15 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13791105 2010-07-15 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,454K,450K,439K,454000.0,450000.0,439000.0,-11000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.7,higher_is_bearish,0.7,Higher jobless claims have recently behaved more like growth stress than a dovish-rate signal for NQ.
2010-07-16 12:30:00,"Core CPI YY, NSA*",core_cpi,inflation,US,BLS,"13749806 2010-07-16 12:30:00 +0000 UTC Core CPI YY, NSA* United States-CPI-Core CPI YY, NSA*",%,,0.9%,0.9%,0.9%,0.9,0.9,0.9,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-07-16 12:30:00,"CPI MM, SA*",cpi,inflation,US,BLS,"13769989 2010-07-16 12:30:00 +0000 UTC CPI MM, SA* United States-CPI-CPI MM, SA*",%,,-0.1%,0%,0%,-0.1,0.0,0.0,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-07-16 12:30:00,"Core CPI MM, SA*",core_cpi,inflation,US,BLS,"13816075 2010-07-16 12:30:00 +0000 UTC Core CPI MM, SA* United States-CPI-Core CPI MM, SA*",%,,0.1%,0.1%,0.1%,0.1,0.1,0.1,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-07-16 12:30:00,"CPI YY, NSA*",cpi,inflation,US,BLS,"13946072 2010-07-16 12:30:00 +0000 UTC CPI YY, NSA* United States-CPI-CPI YY, NSA*",%,,2%,1.2%,1.1%,2.0,1.2,1.1,-0.09999999999999987,actual_vs_forecast,negative,negative,market_positive,bullish,1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2010-07-20 12:30:00,Building Permits: Number *,other,other,US,Dept of Commerce,13949669 2010-07-20 12:30:00 +0000 UTC Building Permits: Number * United States-House Starts-Building Permits: Number *,Number of,M,0.574M,0.57M,0.586M,574000.0,570000.0,586000.0,16000.0,actual_vs_forecast,positive,positive,market_unknown,mixed,0.0,unknown,0.0,No reliable one-number market direction rule; treat as a volatility catalyst.
