group_type,event_family,catalyst_category,surprise_side,market_bias_side,sample_size,raw_bullish_probability,bullish_probability,bearish_probability,raw_market_move_probability,market_move_probability,sample_confidence,confidence_label,avg_return_pts,median_return_pts,avg_return_pct,median_return_pct,avg_mfe_pts,avg_mae_pts,avg_abs_surprise,avg_market_bias_score,window_label
category_all,,labor,,,16,0.5,0.5,0.5,0.1875,0.2,1.0,high,-9.859375,0.125,-0.037851525342038554,0.0007544084692124528,48.828125,-64.5625,63062.5,-0.2663588056680162,60m
category_all,,growth,,,12,0.5,0.5,0.5,0.4166666666666667,0.375,1.0,high,-22.270833333333332,10.125,-0.08172396860360788,0.04116873160244776,79.8125,-110.77083333333333,17500.54999999996,0.0,60m
category_all,,inflation,,,3,0.6666666666666666,0.5714285714285714,0.4285714285714286,0.3333333333333333,0.2857142857142857,0.25,low,-25.166666666666668,25.75,-0.0811393270832893,0.08826957356369121,56.833333333333336,-58.0,0.09999999999999999,0.0,60m
category_all,,other,,,2,0.0,0.3333333333333333,0.6666666666666667,0.0,0.16666666666666666,0.16666666666666666,low,-56.75,-56.75,-0.20839366579076635,-0.20839366579076635,36.75,-69.375,90000.0,0.0,60m
category_market_bias,,labor,,market_negative,12,0.5833333333333334,0.5625,0.4375,0.16666666666666666,0.1875,1.0,high,2.2916666666666665,2.125,0.006049138821036165,0.007573985387873781,57.229166666666664,-57.25,80750.0,-0.5884784075573549,60m
category_market_bias,,growth,,market_negative,6,0.5,0.5,0.5,0.3333333333333333,0.3,0.5,medium,21.416666666666668,10.125,0.06891033618875038,0.042718626514182234,98.45833333333333,-73.20833333333333,18333.616666666665,-0.7000000000000001,60m
category_market_bias,,growth,,market_positive,6,0.5,0.5,0.5,0.5,0.4,0.5,medium,-65.95833333333333,-3.125,-0.23235827339596615,-0.01324042417156946,61.166666666666664,-148.33333333333334,16667.483333333254,0.7000000000000001,60m
category_market_bias,,labor,,market_positive,4,0.25,0.375,0.625,0.25,0.25,0.3333333333333333,low,-46.3125,-25.25,-0.16955351783126274,-0.09263806119991143,23.625,-86.5,10000.0,0.7,60m
category_market_bias,,inflation,,market_positive,2,0.5,0.5,0.5,0.5,0.3333333333333333,0.16666666666666666,low,-50.625,-50.625,-0.16584377740677955,-0.16584377740677955,52.75,-73.875,0.09999999999999998,0.375,60m
category_market_bias,,other,,market_neutral,2,0.0,0.3333333333333333,0.6666666666666667,0.0,0.16666666666666666,0.16666666666666666,low,-56.75,-56.75,-0.20839366579076635,-0.20839366579076635,36.75,-69.375,90000.0,0.0,60m
