release_time,title,event_family,catalyst_category,country,source,calendar_id,unit,scale,previous,forecast,actual,previous_value,forecast_value,actual_value,surprise,surprise_basis,surprise_side,raw_surprise_side,market_bias_side,market_bias_label,market_bias_score,market_rule_direction,market_rule_confidence,market_rule_note,event_cluster_id,event_count,is_event_cluster,cluster_titles,cluster_event_families,cluster_categories,cluster_surprise_sides,cluster_market_bias_sides,cluster_surprise_summary,primary_title,primary_event_family,primary_catalyst_category,symbol,reaction_mode,market_session,pre_price,window_label,return_5m_pts,return_5m_pct,mfe_5m_pts,mfe_5m_pct,mae_5m_pts,mae_5m_pct,return_15m_pts,return_15m_pct,mfe_15m_pts,mfe_15m_pct,mae_15m_pts,mae_15m_pct,return_30m_pts,return_30m_pct,mfe_30m_pts,mfe_30m_pct,mae_30m_pts,mae_30m_pct,return_60m_pts,return_60m_pct,mfe_60m_pts,mfe_60m_pct,mae_60m_pts,mae_60m_pct,return_390m_pts,return_390m_pct,mfe_390m_pts,mfe_390m_pct,mae_390m_pts,mae_390m_pct,reaction_return_pts,reaction_return_pct,mfe_pts,mfe_pct,mae_pts,mae_pct
2010-06-10 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13813694 2010-06-10 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,458K,448K,459K,458000.0,448000.0,459000.0,11000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20100610T123000,1,False,Initial Jobless Clm*,jobless_claims,labor,positive,market_negative,Initial Jobless Clm*: 11000.0 (actual_vs_forecast),Initial Jobless Clm*,jobless_claims,labor,NQ,intraday,2010-06-10,1796.25,60m,-2.5,-0.13917884481558804,0.25,0.013917884481558803,-4.25,-0.23660403618649967,-7.5,-0.41753653444676403,0.25,0.013917884481558803,-10.0,-0.5567153792623522,-3.0,-0.16701461377870563,0.25,0.013917884481558803,-10.0,-0.5567153792623522,10.75,0.5984690327070284,13.0,0.7237299930410578,-10.0,-0.5567153792623522,25.0,1.3917884481558804,30.75,1.7118997912317326,-10.0,-0.5567153792623522,10.75,0.5984690327070284,13.0,0.7237299930410578,-10.0,-0.5567153792623522
2010-06-11 12:30:00,Retail Sales MM *,retail_sales,growth,US,Dept of Commerce,13819384 2010-06-11 12:30:00 +0000 UTC Retail Sales MM * United States-Retail Sales-Retail Sales MM *,%,,0.9%,0.2%,-0.9%,0.9,0.2,-0.9,-1.1,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20100611T123000,1,False,Retail Sales MM *,retail_sales,growth,negative,market_negative,Retail Sales MM *: -1.1 (actual_vs_forecast),Retail Sales MM *,retail_sales,growth,NQ,intraday,2010-06-11,1810.75,60m,1.25,0.0690321689907497,2.0,0.1104514703851995,-1.75,-0.09664503658704957,2.75,0.15187077177964933,4.25,0.23470937456854893,-1.75,-0.09664503658704957,-2.0,-0.1104514703851995,4.25,0.23470937456854893,-4.25,-0.23470937456854893,2.25,0.12425790418334944,4.25,0.23470937456854893,-4.5,-0.24851580836669887,22.0,1.2149661742371947,30.75,1.6981913571724423,-4.5,-0.24851580836669887,2.25,0.12425790418334944,4.25,0.23470937456854893,-4.5,-0.24851580836669887
2010-06-16 12:30:00,Building Permits: Number *,other,other,US,Dept of Commerce,13946982 2010-06-16 12:30:00 +0000 UTC Building Permits: Number * United States-House Starts-Building Permits: Number *,Number of,M,0.606M,0.63M,0.574M,606000.0,630000.0,574000.0,-56000.0,actual_vs_forecast,negative,negative,market_neutral,neutral,0.0,cluster_weighted,0.0,Cluster-level market bias from simultaneous releases.,20100616T123000,1,False,Building Permits: Number *,other,other,negative,market_unknown,Building Permits: Number *: -56000.0 (actual_vs_forecast),Building Permits: Number *,other,other,NQ,intraday,2010-06-16,1880.75,60m,-0.25,-0.013292569453675395,1.75,0.09304798617572776,-0.5,-0.02658513890735079,2.0,0.10634055562940316,2.25,0.11963312508307855,-1.5,-0.07975541672205237,4.5,0.2392662501661571,5.0,0.2658513890735079,-1.5,-0.07975541672205237,10.75,0.571580486508042,11.25,0.5981656254153928,-1.5,-0.07975541672205237,26.5,1.409012362089592,32.0,1.7014488900704505,-1.5,-0.07975541672205237,10.75,0.571580486508042,11.25,0.5981656254153928,-1.5,-0.07975541672205237
2010-06-17 12:30:00,"CPI MM, SA* | CPI YY, NSA* | Core CPI MM, SA* | Core CPI YY, NSA* | Initial Jobless Clm*",core_cpi,inflation,US,BLS,"13783887 2010-06-17 12:30:00 +0000 UTC Core CPI MM, SA* United States-CPI-Core CPI MM, SA*",%,,0%,0.1%,0.1%,0.0,0.1,0.1,0.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.3170212765957447,cluster_weighted,1.0,Cluster-level market bias from simultaneous releases.,20100617T123000,5,True,"CPI MM, SA* | CPI YY, NSA* | Core CPI MM, SA* | Core CPI YY, NSA* | Initial Jobless Clm*","cpi,core_cpi,jobless_claims","inflation,labor","positive,flat","market_negative,market_neutral","CPI MM, SA*: 0.1 (actual_vs_forecast) | CPI YY, NSA*: 0.0 (actual_vs_forecast) | Core CPI MM, SA*: 0.0 (actual_vs_forecast) | Core CPI YY, NSA*: 0.0 (actual_vs_forecast) | Initial Jobless Clm*: 17000.0 (actual_vs_forecast)","Core CPI MM, SA*",core_cpi,inflation,NQ,intraday,2010-06-17,1909.25,60m,-0.5,-0.026188293832656803,1.25,0.065470734581642,-1.25,-0.065470734581642,-1.25,-0.065470734581642,1.25,0.065470734581642,-1.75,-0.09165902841429881,3.25,0.1702239099122692,4.5,0.23569464449391125,-1.75,-0.09165902841429881,4.75,0.2487887914102396,7.25,0.37973026057352366,-1.75,-0.09165902841429881,-9.5,-0.4975775828204792,7.25,0.37973026057352366,-16.5,-0.8642136964776744,4.75,0.2487887914102396,7.25,0.37973026057352366,-1.75,-0.09165902841429881
2010-06-22 14:00:00,Existing Home Sales,home_sales,growth,US,NAR,13746010 2010-06-22 14:00:00 +0000 UTC Existing Home Sales United States-Existing Homes-Existing Home Sales,Number of,M,4.82M,6.12M,4.88M,4820000.0,6120000.0,4880000.0,-1240000.0,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20100622T140000,1,False,Existing Home Sales,home_sales,growth,negative,market_negative,Existing Home Sales: -1240000.0 (actual_vs_forecast),Existing Home Sales,home_sales,growth,NQ,intraday,2010-06-22,1902.25,60m,1.75,0.09199632014719411,2.25,0.11828098304639244,-2.0,-0.10513865159679327,-4.0,-0.21027730319358653,4.75,0.24970429754238405,-5.0,-0.2628466289919832,-4.25,-0.2234196346431857,4.75,0.24970429754238405,-6.25,-0.32855828623997896,4.25,0.2234196346431857,8.25,0.4336969378367722,-6.25,-0.32855828623997896,-22.25,-1.1696674990143252,13.0,0.6834012353791562,-25.75,-1.3536601393087133,4.25,0.2234196346431857,8.25,0.4336969378367722,-6.25,-0.32855828623997896
2010-06-23 18:15:00,Fed Funds Tgt Rate *,fomc_rates,central_bank,US,FOMC,13740022 2010-06-23 18:15:00 +0000 UTC Fed Funds Tgt Rate * United States-Fed policy decision-Fed Funds Tgt Rate *,%,,0.125%,,0.125%,0.125,,0.125,0.0,actual_vs_previous,flat,flat,market_neutral,neutral,0.0,cluster_weighted,1.0,Cluster-level market bias from simultaneous releases.,20100623T181500,1,False,Fed Funds Tgt Rate *,fomc_rates,central_bank,flat,market_neutral,Fed Funds Tgt Rate *: 0.0 (actual_vs_previous),Fed Funds Tgt Rate *,fomc_rates,central_bank,NQ,intraday,2010-06-23,1875.25,60m,-4.0,-0.21330489268097585,1.25,0.06665777896280496,-5.75,-0.3066257832289028,9.5,0.5065991201173177,14.25,0.7598986801759766,-6.75,-0.35995200639914676,-2.5,-0.13331555792560992,14.25,0.7598986801759766,-6.75,-0.35995200639914676,-7.75,-0.41327822956939075,14.25,0.7598986801759766,-10.5,-0.5599253432875617,-6.0,-0.31995733902146384,14.25,0.7598986801759766,-10.5,-0.5599253432875617,-7.75,-0.41327822956939075,14.25,0.7598986801759766,-10.5,-0.5599253432875617
2010-06-24 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13780704 2010-06-24 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,467K,460K,452K,467000.0,460000.0,452000.0,-8000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20100624T123000,1,False,Initial Jobless Clm*,jobless_claims,labor,negative,market_positive,Initial Jobless Clm*: -8000.0 (actual_vs_forecast),Initial Jobless Clm*,jobless_claims,labor,NQ,intraday,2010-06-24,1860.5,60m,3.5,0.18812147272238647,3.75,0.20155872077398548,0.0,0.0,3.75,0.20155872077398548,4.75,0.25530771298038163,0.0,0.0,1.0,0.053748992206396125,4.75,0.25530771298038163,0.0,0.0,7.25,0.38968019349637195,7.25,0.38968019349637195,0.0,0.0,-10.75,-0.5778016662187584,9.5,0.5106154259607633,-18.5,-0.9943563558183284,7.25,0.38968019349637195,7.25,0.38968019349637195,0.0,0.0
2010-06-30 12:15:00,ADP National Employment*,adp_employment,labor,US,ADP,14590298 2010-06-30 12:15:00 +0000 UTC ADP National Employment* United States-ADP-ADP National Employment*,Person,K,95K,60K,22K,95000.0,60000.0,22000.0,-38000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.6,cluster_weighted,0.6,Cluster-level market bias from simultaneous releases.,20100630T121500,1,False,ADP National Employment*,adp_employment,labor,negative,market_positive,ADP National Employment*: -38000.0 (actual_vs_forecast),ADP National Employment*,adp_employment,labor,NQ,intraday,2010-06-30,1762.5,60m,0.25,0.014184397163120567,2.0,0.11347517730496454,-1.75,-0.09929078014184398,2.5,0.14184397163120568,4.0,0.22695035460992907,-1.75,-0.09929078014184398,3.5,0.19858156028368795,4.75,0.2695035460992908,-1.75,-0.09929078014184398,-0.25,-0.014184397163120567,4.75,0.2695035460992908,-3.5,-0.19858156028368795,-1.0,-0.05673758865248227,12.5,0.7092198581560284,-6.25,-0.3546099290780142,-0.25,-0.014184397163120567,4.75,0.2695035460992908,-3.5,-0.19858156028368795
2010-07-01 12:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,13787602 2010-07-01 12:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,452K,452K,464K,452000.0,452000.0,464000.0,12000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20100701T123000,1,False,Initial Jobless Clm*,jobless_claims,labor,positive,market_negative,Initial Jobless Clm*: 12000.0 (actual_vs_forecast),Initial Jobless Clm*,jobless_claims,labor,NQ,intraday,2010-07-01,1728.0,60m,2.5,0.14467592592592593,3.25,0.1880787037037037,0.0,0.0,5.0,0.28935185185185186,6.25,0.3616898148148148,0.0,0.0,10.0,0.5787037037037037,11.25,0.6510416666666667,0.0,0.0,11.75,0.6799768518518519,13.75,0.7957175925925927,0.0,0.0,2.25,0.13020833333333331,17.75,1.0271990740740742,-30.0,-1.7361111111111112,11.75,0.6799768518518519,13.75,0.7957175925925927,0.0,0.0
2010-07-01 14:00:00,ISM Manufacturing PMI,ism_pmi,growth,US,ISM,14568313 2010-07-01 14:00:00 +0000 UTC ISM Manufacturing PMI United States-ISM - man-ISM Manufacturing PMI,Index,,57.4,59,56.5,57.4,59.0,56.5,-2.5,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,cluster_weighted,0.7,Cluster-level market bias from simultaneous releases.,20100701T140000,1,False,ISM Manufacturing PMI,ism_pmi,growth,negative,market_negative,ISM Manufacturing PMI: -2.5 (actual_vs_forecast),ISM Manufacturing PMI,ism_pmi,growth,NQ,intraday,2010-07-01,1723.25,60m,5.25,0.3046568983026258,6.5,0.3771942550413463,-0.75,-0.04352241404323226,-3.5,-0.20310459886841722,6.5,0.3771942550413463,-6.5,-0.3771942550413463,-9.5,-0.5512839112142753,6.5,0.3771942550413463,-12.0,-0.6963586246917162,-13.75,-0.7979109241259249,6.5,0.3771942550413463,-25.25,-1.4652546061221527,6.25,0.3626867836936022,15.75,0.9139706949078775,-25.25,-1.4652546061221527,-13.75,-0.7979109241259249,6.5,0.3771942550413463,-25.25,-1.4652546061221527
